Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates,SA
"RT @pascalfagnoux: #covid19 7 morts dans le Rhône pour cette seule journée....
Au fait Gégé c'était quand la rencontre Lyon contre la Juven…",140,1241072559111712768,Fri Mar 20 18:42:10 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,101,nan,nan,nan,-0.13571428571428573
"RT @29Cheva_Patria: 🔴OTRO PAÍS A CUERENTENA🔴

La Presidenta de #Bolivia, @JeanineAnez, decreta aislamiento para ese país por 14 días. 🆘️

M…",140,1241403477240283137,Sat Mar 21 16:37:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,33,nan,nan,nan,0.0
Ethu amma arasu https://t.co/Va8Zzn78aH,39,1241578891577188352,Sun Mar 22 04:14:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,"{'id': '2ec8e4da4a276a16', 'url': 'https://api.twitter.com/1.1/geo/id/2ec8e4da4a276a16.json', 'place_type': 'city', 'name': 'Thirunindravur', 'full_name': 'Thirunindravur, India', 'country_code': 'IN', 'country': 'India', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[80.019578, 13.109211], [80.070678, 13.109211], [80.070678, 13.133547], [80.019578, 13.133547]]]}, 'attributes': {}}",nan,nan,0.0
RT @ShannaRenee814: Shared with permission from my friend in France. She has a message: #Italy #COVID19 #StayHome https://t.co/Ek3mwTmGH2,137,1241614622244900864,Sun Mar 22 06:36:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,76,nan,nan,nan,0.0
"RT @WHOThailand: Hand hygiene saves lives!

To contain the spread of #COVID19 - and many other infectious diseases - it's crucial to clean…",139,1241624126017679360,Sun Mar 22 07:13:54 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,991,nan,nan,nan,0.18541666666666667
"RT @NedromiYemna: @Saurel_P,maire de #Montpellier, prend les mesures nécessaires pour mieux lutter contre le #Covid19  et assurer la sécuri…",140,1241643667913355265,Sun Mar 22 08:31:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,9,nan,nan,nan,0.25
"RT @NHSMillion: Please, PLEASE listen to the NHS staff who are working on the front line right now.

Social distancing really could save th…",140,1241878839522988034,Mon Mar 23 00:06:02 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,4058,nan,nan,nan,0.17301587301587298
RT @monky_p: เรื่องอื่นยอมไม่ได้เรื่องนี้กุก็ไม่ยอมมมมมมมมม,59,1242015589192744961,Mon Mar 23 09:09:26 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1550,nan,nan,nan,0.0
"RT @BashirAhmaad: The @NCDCGov has confirmed 5 new cases of #COVID19 this morning (at 9:45am). 2 in FCT, 2 in Lagos and 1 in Edo

Confirmed…",140,1242048553209430016,Mon Mar 23 11:20:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1070,nan,nan,nan,0.31212121212121213
"RT @citysikhs: All Gurdwaras and other places of worship across the UK must close tonight until further notice

People will only be allowed…",140,1242210098564476928,Mon Mar 23 22:02:21 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,11,nan,nan,nan,-0.041666666666666664
"RT @DanCrenshawTX: EVERYONE in America, Democrat and Republican, MUST read this thread. This is what Pelosi killed the rescue package for.…",139,1242247183656779777,Tue Mar 24 00:29:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,11206,nan,nan,nan,-0.2
If Abba kyari tests positive then bubu will take KOVIK 1-9 seriously https://t.co/rvzyoCc6aH,92,1242319476818874368,Tue Mar 24 05:16:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,1,nan,nan,nan,-0.053030303030303025
"RT @PolishSoldier1: If Chinese test kits for #coronavirus are as reliable as Chinese smartwatch, which can detect heartbeat of the... potat…",140,1242711755861581828,Wed Mar 25 07:15:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,931,nan,nan,nan,0.0
"RT @JPenerangan: #COVID19 - Jangan Sebar Berita Palsu, YB Dato' @saifuddinabd, Menteri @kkmm_gov 

https://t.co/riU6wlIStS

Sumber: @bernam…",140,1242762916220129280,Wed Mar 25 10:39:03 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,126,nan,nan,nan,-0.4000000000000001
#Dems Keep Millions for Kennedy Center and a Raise for Themselves in Current Senate #coronavirus Stimulus Bill https://t.co/y1y8IkUTIl via @100percFEDUP,152,1242902534852939778,Wed Mar 25 19:53:50 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,3,nan,nan,nan,-0.05
RT @_xlifeofmo: Greedy Americans would have stole all of this.,62,1242968872069861377,Thu Mar 26 00:17:27 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,51639,nan,nan,nan,0.0
"El alcalde asegura que el condado tiene la capacidad para responder a un incremento de casos positivos en el área. #coronavirus #COVID19
https://t.co/JsCJzdi6H0",160,1242976072867762176,Thu Mar 26 00:46:03 +0000 2020,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",3,1,nan,nan,nan,0.22727272727272727
When the person next to me coughs. #COVID19 #COVIDー19 https://t.co/mKE4lN8Chz,77,1243029139726073858,Thu Mar 26 04:16:55 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,nan,nan,nan,0.0
RT @RebHarms: About 300.000 men and women are imprisonned in #Turkey. Capacity of jails is for 120.000. We can’t ignore that prison term ca…,140,1245094025931173890,Tue Mar 31 21:02:03 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1383,nan,nan,nan,0.0
So sweet a puppy. https://t.co/H47l9iFjsR,41,1245398178049867778,Wed Apr 01 17:10:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,"{'id': 'c8022ca5114d7ea9', 'url': 'https://api.twitter.com/1.1/geo/id/c8022ca5114d7ea9.json', 'place_type': 'city', 'name': 'Salem', 'full_name': 'Salem, OR', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-123.122916, 44.853813], [-122.935114, 44.853813], [-122.935114, 45.016355], [-123.122916, 45.016355]]]}, 'attributes': {}}",nan,nan,0.35
"RT @ChristianR117: ⚠️ INÉDITO ⚠️ 🇪🇨Ecuador

Cadaver dejado en la acera de un hospital de Guayaquil. Los problemas de retiro de cadáveres oc…",140,1245482578959839237,Wed Apr 01 22:46:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,47,nan,nan,nan,0.0
